Date,State,State_Code,District,District_Code,Confirmed,Active,Recovered,Deceased,Under_Observation,Home_Isolation,Symptomatic_Hospitalized,Symptomatic_Hospitalized_Today
22-02-2020,Kerala,32,Wayanad,590,0,0,0,0,0,0,0,0
22-02-2020,Kerala,32,Kannur,589,0,0,0,0,5,4,1,3
22-02-2020,Kerala,32,Kasaragod,588,1,0,1,0,4,4,0,0
23-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,28,26,2,0
23-02-2020,Kerala,32,Kollam,600,0,0,0,0,4,4,0,3
23-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,2,2,0,0
23-02-2020,Kerala,32,Idukki,596,0,0,0,0,2,2,0,0
23-02-2020,Kerala,32,Kottayam,597,0,0,0,0,9,9,0,0
23-02-2020,Kerala,32,Alappuzha,598,1,0,1,0,18,17,1,9
23-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,9,9,0,0
23-02-2020,Kerala,32,Thrissur,594,1,0,1,0,27,26,1,4
23-02-2020,Kerala,32,Palakkad,593,0,0,0,0,10,10,0,1
23-02-2020,Kerala,32,Malappuram,592,0,0,0,0,5,5,0,1
23-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,3,3,0,0
23-02-2020,Kerala,32,Wayanad,590,0,0,0,0,0,0,0,0
23-02-2020,Kerala,32,Kannur,589,0,0,0,0,6,5,1,1
23-02-2020,Kerala,32,Kasaragod,588,1,0,1,0,4,4,0,0
24-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,30,27,3,0
24-02-2020,Kerala,32,Kollam,600,0,0,0,0,4,4,0,0
24-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,2,2,0,0
24-02-2020,Kerala,32,Idukki,596,0,0,0,0,1,1,0,1
24-02-2020,Kerala,32,Kottayam,597,0,0,0,0,10,10,0,0
24-02-2020,Kerala,32,Alappuzha,598,1,0,1,0,21,21,0,0
24-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,9,9,0,0
24-02-2020,Kerala,32,Thrissur,594,1,0,1,0,30,27,3,5
24-02-2020,Kerala,32,Palakkad,593,0,0,0,0,10,10,0,1
24-02-2020,Kerala,32,Malappuram,592,0,0,0,0,5,5,0,0
24-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,3,3,0,0
24-02-2020,Kerala,32,Wayanad,590,0,0,0,0,0,0,0,0
24-02-2020,Kerala,32,Kannur,589,0,0,0,0,6,5,1,0
